Questions,Answers
Where is the Library located?,"The Library is located in Main Library, Block 13, and there is a mini library extension located in Emiet Hostel."
What are the Library hours?,"The library hours vary depending on the library and the time of year. The Main Library is open Monday to Friday 9.00 a.m. to 2.00 a.m., Saturday, Sunday, and Holidays 9.00 a.m. to 12.00 a.m. during the semester, and 9.00 a.m. to 12.00 midnight during vacations. The Mini-Library is open 24/7. The Day Timing is 9:00 am – 8:00 pm every day."
Can I bring my personal books/notebooks to the Library?,"Yes, you can bring your personal books/notebooks to the Library, but you will be responsible for their safety and the Library will not be liable for any loss or damage."
Are food and beverages allowed in the Library?,"Outside food and beverages are not allowed inside the Library, but you can carry your water bottle and use the Library's hot water and tea bags if you bring your mug."
Can mobile phones be used in the Library?,"According to one source, food and beverages are not allowed in the Library, except for carrying a water bottle. According to the same source, the audible use of mobile phones in the Library is highly discouraged. However, there are other sources that contradict this information, and one source does not provide any information about food, beverages, or mobile phone usage in the Library."
Does the Library provide any orientation program to the fresher?,"Yes, the Library at the Institute offers an orientation program to the students and others at the beginning of every academic year and also on demand from a group of students. "
I am a new student/staff/faculty member. How do I get the library membership card?,"To get the library membership card, you need to fill in the membership form available at the library circulation desk along with a passport size photograph. Additionally, you need to get your Institute ID card RFID enabled at the circulation desk."
I am a visitor or general member of the public. Is it possible for me to use your Library?,"Yes, visitors are welcome to visit the library, but it is advised to take prior permission by writing at librarycirculation@iitgn.ac.in."
Are there any group study areas in the libraries?,"Yes, there are group study areas in the libraries."
"Can I leave my belongings (laptop, notebooks, water bottle, etc.) overnight in the library?","No, we highly discourage leaving personal belongings in the library for long period of time. Library team is not liable for any loss/damage to the personal belongings of a user in the Library."
What is the procedure of donating books to the Library?,"The Library will be happy to accept books of high quality which will be interest to Institute user community, as donation. This will be done on case-to-case basis and subject meeting certain conditions set by the Institute."
Do I need an IITGN ID card to borrow?,"Yes, the IITGN ID card is mandatory for borrowing any physical resource from the Library. For external members, you must carry the IITGN Library Card provided to you."
How can I get Institute ID card RFID enabled?,"Leave your IITGN card with staff on duty at the circulation desk with a request, and your card will be RFID enabled."
How can I borrow books using an RFID kiosk?,"You can borrow books using an RFID kiosk by clicking on 'Issue' on the screen, tapping your Institute ID card/ Library Card against the card reader, typing your account password, placing the books on the scan bed, clicking on 'Done', and collecting the receipt."
How can I return books using an RFID kiosk?,"Click on ‘Return’ on the screen. Place the books (one at a time in case of thicker books) on the scan bed. Make sure all the book details show up on the screen. Click on ‘Done’ and collect the receipt, with all associated details of the check-in including due date. An email will also reach your registered email address."
What is the purpose of the gates at the entrance of the Library?,The RFID security gates are placed to ensure that all library books are issued properly before leaving the library premises. The gates alerts whenever a book is being taken out without being issued to a patron. It also records gate counts or footfalls.
What are vacation issues?,"Student members, except those completing their final semester program, can borrow books during the vacation period as per the entitlement. Vacation issues (only books) will be issued two days before the Winter/Summer Vacation and due date for these books will be two days from the day when semester begins. There will be an announcement to this effect as we are near to vacation."
Can I check out periodicals or reference books?,"All periodicals (except the latest issue) can be borrowed for 5 days. However, reference books are not allowed to be borrowed. They are to be referred to within the library premises. Kindly refer to the borrowing privileges given under the library services."
Can I recall an item that is currently checked out?,"No, not in ordinary situations. However, you may reserve it for yourself. For very urgent requirements, you may write to librarian@iitgn.ac.in."
Can I put a book on hold which is issued to me?,"We discourage placing hold on a book issued to self, as that hurts the chances of other users to get it."
"How many books & other reading materials can I check out at a time, and for how long?",Borrowing privileges depend upon your user category.
How can I find out when a library item is due?,"An advance alert mail will reach you when your library item is due. Also, you will get a reminder when a borrowed item becomes overdue. You can also login to your account in Online Catalogue and find out the due date."
When do Library late return fees begin to accrue & how much are library late return fees?,"Library late fee begins to accrue the day after the item was due, including Sundays & other holidays. For any general item, the late fee is Rs. 2/- for the first 7 days, followed by Rs.5/- each 8th day onwards. For Short Loan books, the charges are Rs. 5/- for the first 7 days, followed by Rs. 10/- each 8th day onwards"
How do I pay a library late return fee?,Payment of late fee can be made either in cash or online.
How do I renew an item I have checked out?,Follow the procedure of returning a book and then follow the procedure of issuing the same. You have to bring the book physically to the Library to get it renewed.
Can I renew an overdue item?,"Yes, but only if the overdue charges are cleared."
How many times can I renew borrowed books?,"You may renew the borrowed books once, provided there is no hold on the same."
May I renew my books online?,"No, you have to bring the books physically to the Library."
